EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Nakao et al. 1986,[Enzyme-Linked Immunosorbent Assay (Micro-Elisa) For Serological Diagnosis Of Multilocular Echinococcosis].,1986,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,61,4,576-83,576,583,8,none,3758919,article,no,UGA Library,,"Multilocular echinococcosis caused by the larval stage of Echinococcus multilocularis is an important zoonosis with high mortality. In Hokkaido, Japan, although the prevalence among inhabitants has been very low, the areas infested with the parasite are rapidly spreading in recent years. Therefore, we improved on the procedure of the enzyme-linked immunosorbent assay (micro-ELISA) for serological diagnosis of multilocular echinococcosis to carry out the epidemiological survey. A micro-ELISA plate (M129A, DYNATECH), antigen of E. multilocularis cyst extract, peroxidase-conjugated anti-human IgG (MILES-YEDA), O-phenylenediamine and a plate reader (Multiskan MC, TITERTEK) were used for the assay. Reactions were performed with 0.1 ml of reagents in wells of plate at each step and 0.1 ml of 0.2N H2SO4 was finally added for stop of the reaction. The optimum condition was determined by block titration, as 10 micrograms/ml of protein for antigen concentration, 1:40 for serum dilution and 1:4,000 for conjugate dilution. In this assay system, 30 serum samples could be examined in one plate. After correcting the absorbance of negative control to 0.300, positive range was defined as more than 0.600 which was twice the value of negative control. Doubtful positive range was defined as between 0.450 and 0.600, and negative range as less than 0.450. According to this criterion, 30 serum samples of proven patients with multilocular echinococcosis were examined. Positive and doubtful positive reactions were found from 20 sera (66.7%) and 7 sera (23.3%), respectively. Three patient sera (10.0%) showed negative reactions.(ABSTRACT TRUNCATED AT 250 WORDS)",not-needed,Japanese,human,,,,,,NA,diagnostic methods,Snowballing
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Minagawa 1997,[Survey Of Echinococcosis In Hokkaido And Measure Against It].,1997,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,72,6,569-81,569,581,13,none,9465311,article,no,UGA Library,,"The first patient with echinococcosis who had lived in Rebun island was discovered in 1937 at Otaru and 134 patients had been identified as Rebun cases till 1989. In the meantime, the eradication of echinococcosis succeeded with extermination of dogs and foxes from the island. On the other hand, the first patient of Kon-sen cases was found in 1965 and 208 patients have been treated so far. The patients had been restricted within the Kon-sen region until 1979, but thereafter the patients have been found sporadically all over Hokkaido. This distributional tendency of the patients coincides with the explosion of the infection with Echinococcus multilocularis in foxes in Hokkaido after 1980. Prevention measure against echinococcosis has been carried out by the Committee for the Disorder of Hokkaido, by which we have been successful. We succeed in the early diagnosis and treatment of the patients, but still have no decisive methods to eradicate E. multilocularis in Hokkaido. This is one of the important problems of zoonosis to solve for the next century of Hokkaido.",not-needed,Japanese,no E. multi detection,,,,,,NA,review,Snowballing
yes,no,1,no,ARW; KA,yes,ARW,yes,yes,yes,Minagawa 1999,The Reconsideration Of Natural History Of Echinococcosis At Rebun Island.,1999,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,74,2,113-34,113,134,22,none,10386161,article,no,UGA Library,,"It has been believed that the outbreak of echinococcosis at Rebun Island had ceased by 1970. The first patient was diagnosed in 1936 and 131 patients have been authorized as echinococcosis so far. The conference of measures against the outbreak had been organized in 1948 and started to eradicate Echinococcus multilocularis from the Island. Medical examination to detect the patients and the capture and autopsy of dogs and cats had been carried out hard till 1970. At that time, foxes imported from Simusiru Island in the middle Kuriles during the years 1924 to 1926 had already disappeared and it has seemed to be sure that stray dogs and cats might carry E. multilocularis and excrete infectious eggs in stead of foxes. Since we have had no real data concerning the natural history of patients with echinococcosis without any treatments, it can not be recognized the time of infection and the role of dogs or cats on the spread of echinococcosis at Rebun Island. From the new data, it is concluded that the active life cycle of E. multilocularis between foxes and vole might be closed by 1940, since the last patient infected with E. multilocularis was born in 1940 and died in 1945. Furthermore, it is estimated that more than 200 patients (3 to 4% of people at the island) might die from echinococcosis, because of the fact of the unusual increase of mortality of liver disorders and oldness observed during the years of 1940 to 1960. 81 patients with the high possibility of echinococcosis detected from 1937 to 1963 can be added to 131 authorized patients. Surprisingly, it is noticed that the standard deviations of ages of death of 94 patients born in Meiji era (1880-1912) and 59 in Taisho and Showa eras (1912-1940) are 63.16 +/- 11.68, and 34.32 +/- 11.87, respectively. It means that both old and young people might be infected simultaneously but for the long period. There was no difference between the susceptibility of young and old men to E. multilocularis. The numbers of male patients died were more than those of female patients at the ages from 30s to 60s while the number of female died was predominant after 70s. All 13 familial cases of echinococcosis represent that men might bring the infectious eggs into their houses and died earlier by the infection. Thus, the sexual difference might be due to the life style of men who preferred hunting beside fishing. From these results, it is conceivable that the heavy infection of E. multilocularis excreted from foxes might occur from 1925 to 1940 and the peak of the death might be formed during 1940 to 1965. The eradication of foxes might be done by poachers after 1935 and the adaptation of E. multilocularis from fox to dog or cat might not occur readily at Rebun Island.",Yes,Japanese,,,,,"EID_242, EID_243",,NA,,Snowballing
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Doi et al. 2003,[Possibility Of Invasion Of Echinococcus Into Honshu With Pet Dogs From Hokkaido And Overseas].,2003,[Nihon koshu eisei zasshi] Japanese journal of public health,50,7,639-49,639,649,11,none,12934520,article,no,UGA Library,,"The number of pet dogs moving with their owners to Honshu, the main island of Japan, from Hokkaido, and the number of dogs imported from overseas were examined, and the possibility of invasion of Echinococcus multilocularis and E. granulosus with these dogs was discussed. The number of pet dogs moving to Honshu-island from Hokkaido was examined with the movement notifications based on the Rabies Prevention Act in 29 prefectures during the period from 1996 to 2001. The number of pets was also examined by questionnaire targeting 3 aviation and 3 ferry companies. The number of dogs imported from overseas was examined with the Annual Reports of the Animal Quarantine Service of Japan, The sanitary conditions of hotels for pet owners were also examined with a questionnaire. Approximately 140 pet dogs were found to have officially moved annually from Hokkaido to Honshu during the study period. However, the actual number might be two to three times this estimate, because many dogs moved without notification. Nearly ten thousand pet dogs were transported a year to and from Honshu and Hokkaido by planes and ferries. A value of three thousand would be expected if people from Hokkaido were accompanying their pets at the rate of the registered dogs per population, one animal per 23 Hokkaido residents. Up to 30 pet dogs infested with E. multilocularis would probably be included per year, according to the infestation rate of 1% in Hokkaido. The number of imported dogs from overseas was assessed at approximately 15 thousand a year, but these dogs were not obligated to receive animal quarantine with respect to echinococcal infestation in Japan. Hotels for pet owners were considered to be managed rather sanitarily, though certain administrative guidance is necessary to prevent hydatid disease infection of travelers and hotel workers. The authors consider that dogs from Hokkaido and also from echinococcosis endemic countries should undergo fecal examination for parasite eggs to prevent invasion of the parasite into Honshu. The authors propose the fecal examination of the dogs from Hokkaido and also from overseas for preventing invasion of E. multilocularis and E. granulosus into Honshu, Japan.",not-needed,Japanese,no E. multi detection,,,NA,,,NA,management factors,Snowballing
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Konno et al. 2002,[How Can We Prevent Alveolar Echinococcosis? Ecosystem And Risk Management Viewpoints].,2002,[Nihon koshu eisei zasshi] Japanese journal of public health,49,1,(7-17),7,17,11,none,11868346,article,no,UGA Library,,"This article focuses on understanding epidemiological features of alveolar echinococcosis and discussing its prevention and control, especially from a viewpoint of the ecosystem and risk management. Publications on alveolar echinococcosis throughout the world were systematically reviewed with special reference to ecology, epidemiology and countermeasures."", ""Alveolar echinococcosis, caused by accidental infection with larva of the parasite Echinococcus multilocularis is fatal to humans unless diagnosed at an early stage. No effective control measures have been identified so far because it is difficult to fully understand the ecology of the parasite and its intermediate and definitive hosts. It is also not easy to determine the precise infection route to humans mainly because of the long latent period. In Hokkaido, infection rates among red foxes have recently risen even in low endemic districts. Not only stray and domestic dogs but also some pigs in Hokkaido have been found to be infected. While the number of reported human cases is still small, around 10 cases per year, local residents seem to be threatened with the risk of infection. We predict that the incidence of alveolar echinococcosis among humans in Japan will increase in the near future if no effective preventive measures are conducted. In addition, Echinococcus multilocularis infection has the potential to affect the economy of Hokkaido because of its impact on the agricultural and tourist industries. Well-designed epidemiological surveys are therefore urgently required, in the context of ecosystem and risk management prior to large outbreaks. International collaboration is also desired.",not-needed,Japanese,no E. multi detection,,,,,,NA,review,Snowballing
no,no,0,yes,Joy,TBD,,yes,No,,Reiterova et al. 2006,Occurrence of Echinococcus multilocularis in red foxes from the Carpathian regions of Slovakia and Poland,2006,Acta parasitologica,51,2,107-110,107,110,4,10.2478/s11686-006-0016-6,,article,yes,publisher website,0,"The extensive distribution of Echinococcus multilocularis cestode from endemic alpine areas to the parts of Central Europe has been recorded in recent years. The first confirmed finding of E. multilocularis in Slovakia was recorded in 1999 in the area adjacent to the Polish border. At present, this serious zoonosis occurs almost across the whole territory of Slovakia. The occurrence of these tapeworms in red foxes (Vulpes vulpes) at the border regions of Slovakia and Poland has been monitored. In these districts, out of 152 faecal samples examined, 36.2% were positive for the coproantigen-ELISA. With the sedimentation and counting technique the prevalence of E. multilocularis in red foxes was up to 38.8%. The examination of foxes from neighbouring districts revealed worm burden ranging from 1â€“15,000 specimens, but the majority of animals harboured medium number of tapeworms. In the Small Carpathian and Sub-Carpathian regions of Poland, out of 65 samples examined, 13.8% were coproantigen positive. Using the small intestine scraping method only 6.1% prevalence of E. multilocularis in red foxes was determined, mostly with a high worm burdens over 1,000 specimens. The results suggest possible transborder transmission of E. multilocularis, the causative agent of serious alveolar echinococcosis.",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Cisak et al. 2015,Evaluation Of Reactivity To Echinococcus Spp. Among Rural Inhabitants In Poland.,2015,Acta parasitologica,60,3,525-9,525,529,5,10.1515/ap-2015-0074,26204192,article,no,UGA Library,,"A group of 172 rural inhabitants from eastern Poland (68 males and 104 females, mean age 49.0 √´¬± 12.0 years) was examined for the presence of antibodies against Echinococcus granulosus and Echinococcus multilocularis. A population of 38 healthy urban dwellers from the city of Lublin (17 males and 21 females, mean age 36.2 √´¬± 9.6 years) were examined as a control group. Sera of 22 rural inhabitants (12.8%) reacted positively to Echinococcus granulosus hydatid fluid antigen in the screening test. A cross-reactivity was observed with two serum samples that tested positive in ELISA for E. granulosus. Three serum samples were tested positive for E. multilocularis using the Em2plus ELISA assay and also positive for Western blot. None of the members of control group showed the presence of a seropositive reaction to Echinococcus spp. The reactivity to Echinococcus spp. among rural inhabitants decreased with age and this correlation was statistically significant (R = -0.197151, p = 0.009535). The percentage of positive findings was the highest (50.0%) in the youngest age group (14-20). No significant correlations were found between responses to interview questions (possession of domestic and farm animals, contact with wild animals, eating unwashed berries, drinking unboiled water) and the presence of seropositive reactions to Echinococcus spp. The presented results seem to indicate that echinococcosis is still a current problem in Poland that should not be neglected and, moreover, indicates the need for improvement in the routine laboratory diagnostics of Echinococcus spp. by standardizing the ELISA and Western blot tests. ",not-needed,English,human,,,,,,NA,,Snowballing
no,yes,1,yes,not-needed,yes,RR,yes,yes,no,Kharchenko et al. 2008,"Occurrence of Echinococcus multilocularis (Cestoda, Taeniidae) in red foxes (Vulpes vulpes) from Western Ukraine",2008,Acta parasitologica,53,1,36-40,36,40,5,10.2478/s11686-008-0008-9,none,article,yes,publisher website,0,"Echinococcus multilocularis was found for the first time in red foxes in the L√¢‚Ç¨‚Ñ¢vivska and Volynska regions (Western Ukraine). Prevalence was 36% and intensity was 11√¢‚Ç¨‚Äú731 parasites. The material was identified as E. multilocularis on morphological characters. It is presumed that this infection of foxes with E. multilocularis occurred locally and, probably, can be considered as a consequence of the expansion of the range of the parasite.",Yes,English,,,location size,GMPD_130,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Malczewski et al. 1999,Echinococcus multilocularis in red foxes (Vulpes vulpes) in Poland: an update of the epidemiological situation,1999,Acta parasitologica,44,1,68-72,68,72,5,none,,article,no,UGA Library,,"Echinococcus multilocularis, an intestinal ces­tode parasite of foxes and other carnivores, is the causative agent of human alveolar echinococcosis which is a lethal infection in a high percentage of untreated patients. After the first record of E. multilocularis in foxes in Poland in 1995 by our group further epidemiological studies were performed. During the study period (October 1993 until March 1998) 2,951 red foxes (Vulpes vulpes) were sam­pled in 43 of the 49 districts (voivodships), representing approximately 280,000 krn2 or 89% of the whole territory of Poland. The average sampling density was 10.5 foxes per 1,000 krn2. Foxes infected with E. multilocularis were found in 18 of the 43 districts ( 42% ), with more affected districts in the northern part (15 of 22) than in the south­ern part (3 of 21). The average prevalence of E. multilo­cularis in all districts where foxes had been sampled was low at 2.6%. The north-west, south-west and south-east regions of the country had low average prevalences from 0.4 to 2.2% but a higher prevalence of I 1.8% was found in the north-east region. Prevalences varied widely between districts, reaching highest values of 20 and 36% in two of the north-eastern districts. It is concluded that E. multilo­cularis represents a potential infection risk to humans in wide areas of Poland but the true risk cannot be defined at present. Further studies are needed in order to obtain a more complete epidemiological picture. ",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Lass et al. 2017,"Detection Of Echinococcus Multilocularis Dna In Fruit, Vegetable, And Mushroom Samples Collected In The Non-Endemic Territory Of The Pomerania Province And Comparison Of The Results With Data From Rural Areas Of The Neighbouring Highly Endemic Warmia-Masuria Province, Poland.",2017,Acta parasitologica,62,2,459-465,459,465,7,10.1515/ap-2017-0053,28426415,article,no,UGA Library,,"Echinococcus multilocularis is a tapeworm that may cause alveolar echinococcosis (AE), one of the most dangerous parasitic zoonoses. As in the case of some foodborne diseases, unwashed fruits and vegetables contaminated with eggs of E. multilocularis may serve as an important transmission route for this parasite. The aim of this study was to investigate the presence of E. multilocularis DNA in fruit, vegetables, and mushrooms in rural areas of the Pomerania province, Poland (non-endemic territory). In total, 104 environmental fruit, vegetable, and mushroom samples collected in forests, plantations, and kitchen gardens were analysed using nested PCR based on the mitochondrial 12S rRNA gene. E. multilocularis DNA was detected in 6.7 % of the samples tested, which indicated that the environment of the Pomerania province is contaminated with this parasite, creating a potential risk for humans. Therefore, fresh fruit, vegetables, and mushrooms should be washed before consumption. Additionally, the results showed that the level of contamination is significantly lower than in the highly endemic Warmia-Masuria province. The differences in the occurrence of E. multilocularis in the environment of these neighbouring provinces appears to be connected with the general epidemiological situation of these two regions, but further study is required for an exact explanation.",not-needed,English,environmental,,,,,,NA,,Snowballing
