Journal,Society,ISSN,eISSN,Publisher name,Publisher address,Publisher country,Languages,Web of Science Categories,notes
Mastozoología Neotropical,Sociedad Argentina para el Estudio de los Mamíferos (SAREM); Sociedade Brasileira de Mastozoologia (SBMz),0327-9383,1666-0536,CC,"CC 507, MENDOZA, ARGENTINA, 00000",ARG,Multi-Language,Zoology,Spanish; English; Portuguese
Australian Journal of Zoology,,0004-959X,1446-5698,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, AUSTRALIA, VIC, 3168",AUS,English,Zoology,
Emu-Austral Ornithology,,0158-4197,1448-5540,TAYLOR & FRANCIS AUSTRALASIA,"LEVEL 2, 11 QUEENS RD, MELBOURNE, AUSTRALIA, VIC, 3004",AUS,English,Ornithology,
HERPETOFAUNA-SYDNEY,Australasian Affiliation of Herpetological Societies,0725-1424,,Australasian Affiliation of Herpetological Societies,,AUS,English,n/a,
Memoirs of the Queensland Museum,Queensland Museum,0079-8835,2204-1478,Queensland Museum,,AUS,English,n/a,
Ciência Rural,,0103-8478,1678-4596,Universidade Federal de Santa Maria Area: Agricultural Sciences,,BRA,Multi-Language,,Spanish; Portuguese
SITIENTIBUS série Ciências Biológicas,Universidade Estadual de Feira de Santana,,,Universidade Estadual de Feira de Santana,,BRA,Multi-Language,n/a,English; Spanish; Portuguese
Universidade Estadual de Feira de Santana,,,,,,BRA,Portuguese,,
Wild Furbearer Management and Conservation in North America,Ontario Trappers Association,,,Ontario Ministry of Natural Resources,,CAN,English,,
Animal Cognition,,1435-9448,1435-9456,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",DEU,English,Behavioral Sciences | Zoology,
Community Ecology,,1585-8553,1588-2756,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",DEU,English,Ecology,
Journal of Comparative Physiology,,0340-7594,1432-1351,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",DEU,English,Behavioral Sciences | Neurosciences | Physiology | Zoology,
Mammalia,,0025-1461,1864-1547,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",DEU,Multi-Language,Zoology,English; German
Mammalian Biology,,1616-5047,1618-1476,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",DEU,English,Animal Sciences,
Nature,,0028-0836,1476-4687,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, Germany, 14197",DEU,English,Multidisciplinary Sciences,
Zoologische Beiträge,,0044-5150,,Duncker & Humblot,,DEU,German,,
Zoologische Garten,,0044-5169,,ELSEVIER,,DEU,German,,
Actas Iberoamericanas de Conservación Animal,Red CONBIAND,2253-7325,2253-9727,Red CONBIAND,,ESP,Spanish,,
Anaerobe,,1075-9964,1095-8274,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",GBR,English,Microbiology,
Animal Behavior,,0003-3472,1095-8282,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",GBR,English,Behavioral Sciences | Zoology,
Australian Journal of Ecology,The Ecological Society of Australia ,0307692x,,Blackwell Science Pty,,GBR,English,,now Austral Ecology
Bioacoustics,,0952-4622,2165-0586,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",GBR,English,Zoology,
Biological Conservation,,0006-3207,1873-2917,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",GBR,English,Biodiversity Conservation | Ecology | Environmental Sciences,
Journal of Arid Environments,,0140-1963,1095-922X,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",GBR,English,Environment/Ecology,
Transboundary and Emerging Diseases,,1865-1674,1865-1682,WILEY-HINDAWI,"ADAM HOUSE, 3RD FL, 1 FITZROY SQ, LONDON, ENGLAND, WIT 5HE",GBR,English,Veterinary Medicine/Animal Health,
Journal of the Bombay Natural History Society,,0006-6982,,BOMBAY NATURAL HISTORY SOC,"HORNBILL HOUSE, SHAHEED BHAGAT SINGH RD., BOMBAY, INDIA, 00000",IND,Biology,,
