CAB_Abstracts,Wildlife_&_Ecology_Studies_Worldwide,Web_Of_Science,BIOSIS,Zoological_Record,databases_agreement,abstract_review,full_text_review,relevant,source_id,title,journal_or_book,volume,issue,pages,pages_start,pages_end,pages_count,pages_total,abstract,publisher,doi,url,supplementary_url,issn_isbn,language,open_access,identification_method,access_method,time_to_access_days,publication_type,publication_form,publication_year,pdf_access,bl_upload,author_email_contact,creator1_name,creator1_affiliation,creator2_name,creator2_affiliation,creator3_name,creator3_affiliation,creator4_name,creator4_affiliation,creator5_name,creator5_affiliation,creator6_name,creator6_affiliation,creator7_name,creator7_affiliation,creator8_name,creator8_affiliation,creator9_name,creator9_affiliation,creator10_name,creator10_affiliation,notes,
no,Wildlife & Ecology Studies Worldwide,no,no,no,1,included,included,yes,Ackerson 2001,"Characteristics of a ringtail population at Elephant Mountain Wildlife Management Area, Texas.",n/a,n/a,n/a,1-51,1,51,51,64,"The ringtail (Bassarisciis astutiis) is a common carnivore in the southwestern United States. Despite the common occurrence o f this species, few studies have been conducted to determine the ecology o f this animal. The objectives o f this study were to determine (1) habitat selection, (2) home range, (3) denning characteristics, and (4) food habits o f ringtails at Elephant Mountain WMA, Texas. Seventeen ringtails were captured and radio-collared between November 1999 and January 2001 using Havahart live box traps. Ringtails were relocated via triangulation once per day at a random time. Second- order habitat selection was determined using a range site map and third-order habitat selection was determined using a vegetation map. Den locations were determined by homing in on individuals during daylight hours for 4 consecutive days. Volumetric scat analysis was performed to estimate the percent volume o f each food item. Ringtails preferred catclaw (Mimosa 6/n«ci/era)-persimmon (Diospyros texana)-oak (Quercus spp.) bottom and catclaw-goldeneye ( Vigitiera stenoloba)-sidzodXs (Bouteloua ciirtipendula) slope communities. The mean summer home range size (100% MCP) was 0.28 i 0.163 km2. The mean winter home range size was 0.63 ± 0.219 km2 and mean overlap o f ringtail home ranges was 33.3%. Rock dens were the only type o f dens used by ringtails at Elephant Mountain WMA, with 80.6% o f dens found on slopes o f 30-60°. Ringtail diets consisted o f seeds (35.9%), miscellaneous vegetation (14.6%), mammals (21.9%), insects (27.3%), and reptiles (0.2%). Ringtails on Elephant Mountain are important components of the ecosystem and management practices should minimize degradation o f the canyons and surrounding slopes used by ringtails.",Sul Ross State University,none,https://www.proquest.com/dissertations-theses/characteristics-ringtail-population-at-elephant/docview/220005597/se-2,none,none,english,yes,systematic search,UGA Library,0,collegiate research,collegiate research,2001,https://paperpile.com/app/p/aafb160d-2d20-00dc-8871-a15e0d432a0e,not needed,Bettvackerson@Hotmail.com,Ackerson BK,Sul Ross State University,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,seasons were reproductive (March-30 September) and non-reproductive (1 October - 14 March). Evenly split scat samples into seasons (32 from reproductive and 12 from non-reproductive) ,
no,Wildlife & Ecology Studies Worldwide,Web Of Science,BIOSIS,Zoological Record,4,included,iterative publishing,yes,Ackerson and Harveson 2006,"Characteristics of a ringtail (Bassariscus astutus) population in Trans Pecos, Texas.",Texas Journal of Science,58,2,169-184,169,184,16,16,"Despite the common occurrence of ringtails (Bassariscus astutus) few studies have been conducted to assess population characteristics. The objectives of this study were to determine (1) habitat selection, (2) home range, (3) denning characteristics, and (4) food habits of ringtails in the Trans Pecos region of west Texas. Seventeen ringtails were captured between November 1999 and January 2001 using Havahart live box traps. Second- and third-order habitat selection was determined for a ringtail population using range sites, slope, elevation, and vegetation communities. Diets were determined from volumetric scat analysis. The mean summer and winter range sizes (100% Minimum Convex Polygon [MCP]) for ringtails (n = 5) were 0.28 [+ or -] 0.163 [km.sup.2] and 0.63 [+ or -] 0.219 [km.sup.2], respectively. Overlap between ringtail ranges averaged 33.3%. Ringtails preferred catclaw (Mimosa biuncifera), persimmon (Diospyros texana), oak (Quercus sp.) bottom and catclaw/goldeneye (Viguiera stenoloba), sideoats (Bouteloua curtipendula) slope communities. Rock dens were used exclusively by ringtails, with 80.6% of dens found on slopes between 30-60%. Plant (seeds and miscellaneous vegetation) and animal material were found in 74.6 and 86.6% of scats, respectively. Findings suggest that ringtails in Trans Pecos, Texas, are an important component of the ecosystem and that management practices should conserve canyon habitats and adjacent slopes for ringtails.",The Texas Academy of Science,none,https://go.gale.com/ps/i.do?id=GALE%7CA148313522&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00404403&p=AONE&sw=w,none,00404403,english,no,systematic search,UGA Library,0,society,journal article,2006,https://paperpile.com/shared/ZA3BPo,,backerson@usgs.gov,Ackerson BK,Sul Ross State University,Harveson LA,,none,none,none,none,none,none,none,none,none,none,,,,,,,seasons were reproductive (March-30 September) and non-reproductive (1 October - 14 March). Evenly split scat samples into seasons (32 from reproductive and 12 from non-reproductive) ,
no,Wildlife & Ecology Studies Worldwide,no,no,Zoological Record,2,included,included,yes,Alexander et al. 1994,Diet of ringtails (Bassariscus astutus) in Oregon.,Northwestern Naturalist,75,3,97-101,97,101,5,5,none,Society of Northwestern Vertebrate Biology,10.2307/3536831,https://www.jstor.org/stable/3536831,none,none,english,yes,systematic search,JSTOR,0,society,journal article,1994,https://paperpile.com/shared/fTNJ4w,not needed,not provided,Alexander LF,"Department of Fisheries and Wildlife, Oregon State University",Verts BJ,,Farrell TP,,none,none,none,none,none,none,none,none,,,,,,,"monthly analysis; scat rebinned to season as winter (Februrary), spring (March, April, May), summer (June, August), and autumn (September, October, November)",
no,no,no,no,Zoological Record,1,included,included,yes,Allen 2013,Scavenging of a striped skunk (Mephitis mephitis) by a ringtail (Bassariscus astutus) in northern California.,Northwestern Naturalist,94,1,79-81,79,81,3,3,none,Society of Northwestern Vertebrate Biology,none,https://www.jstor.org/stable/43286407,none,none,english,yes,systematic search,JSTOR,0,society,journal article,2013,https://paperpile.com/app/p/03489526-a5a5-0f50-aaa9-db394b7ce85a,not needed,maxallen@illinois.edu,Allen ML,"School of Biological Sciences, Victoria University of Wellington",Elbroch LM,"Panthera, New York",Wilmers CC,"Center for Integrated Spatial Research, Environmental Studies Department, Unviersity of California, Santa Cruz",Wittmer HU,"School of Biological Sciences, Victoria University of Wellington",none,none,none,none,none,none,,,,,,,no photo in manuscript,
no,no,no,no,no,0,included,included,yes,Allen et al. 2015,The comparative effects of large carnivores on the acquisition of carrion by scavengers.,The American Naturalist,185,6,822-833,822,833,12,12,"Pumas (Puma concolor) and black bears (Ursus americanus) are large carnivores that may influence scavenger population dynamics. We used motion-triggered video cameras deployed at deer carcasses to determine how pumas and black bears affected three aspects of carrion acquisition by scavengers: presence, total feeding time, and mean feeding-bout duration. We found that pumas were unable to limit acquisition of carrion by large carnivores but did limit aspects of carrion acquisition by both birds and mesocarnivores. Through their suppression of mesocarnivores and birds, pumas apparently initiated a cascading pattern and increased carrion acquisition by small carnivores. In contrast, black bears monopolized carrion resources and generally had larger limiting effects on carrion acquisition by all scavengers. Black bears also limited puma feeding behaviors at puma kills, which may require pumas to compensate for energetic losses through increasing their kill rates of ungulates. Our results suggest that pumas provide carrion and selectively influence species acquiring carrion, while black bears limit carrion availability to all other scavengers. These results suggest that the effects of large carnivores on scavengers depend on attributes of both carnivores and scavengers (including size) and that competition for carcasses may result in intraguild predation as well as mesocarnivore release.",UNIV CHICAGO PRESS,10.1086/681004,https://www.journals.uchicago.edu/doi/full/10.1086/681004,https://www.journals.uchicago.edu/doi/suppl/10.1086/681004,none,english,no,expert curated,UGA Library,0,society,journal article,2015,https://paperpile.com/app/p/ca8bbc8a-257d-0bd1-b8df-99f5161c4602,not needed,maxallen@illinois.edu,Allen ML,"School of Biological Sciences, Victoria University of Wellington",Elbroch LM,"Panthera, New York",Wilmers CC,"Center for Integrated Spatial Research, Environmental Studies Department, Unviersity of California, Santa Cruz",Wittmer HU,"School of Biological Sciences, Victoria University of Wellington",none,none,none,none,none,none,,,,,,,no photo in manuscript,
no,no,no,no,Zoological Record,1,included,included,yes,Allen et al. 2016,"The importance of motivation, weapons, and foul odors in driving encounter competition in carnivores.",Ecology,97,8,1905-1912,1905,1912,8,8,"Encounter competition is interference competition in which animals directly contend for resources. Ecological theory predicts the trait that determines the resource holding potential (RHP), and hence the winner of encounter competition, is most often body size or mass. The difficulties of observing encounter competition in complex organisms in natural environments, however, has limited opportunities to test this theory across diverse species. We studied the outcome of encounter competition contests among mesocarnivores at deer carcasses in California to determine the most important variables for winning these contests. We found some support for current theory in that body mass is important in determining the winner of encounter competition, but we found that other factors including hunger and species-specific traits were also important. In particular, our top models were “strength and hunger” and “size and hunger,” with models emphasizing the complexity of variables influencing outcomes of encounter competition. In addition, our wins above predicted (WAP) statistic suggests that an important aspect that determines the winner of encounter competition is species-specific advantages that increase their RHP, as bobcats (Lynx rufus) and spotted skunks (Spilogale gracilis) won more often than predicted based on mass. In complex organisms, such as mesocarnivores, species-specific adaptations, including strategic behaviors, aggressiveness, and weapons, contribute to competitive advantages and may allow certain species to take control or defend resources better than others. Our results help explain how interspecific competition shapes the occurrence patterns of species in ecological communities.",WILEY,10.1002/ecy.1462,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.1462,https://esajournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fecy.1462&file=ecy1462-sup-0001-AppendixS1.docx,none,english,yes,systematic search,JSTOR,0,society,journal article,2016,https://paperpile.com/app/p/80954d5d-45cc-0f32-b10e-13713d58c483,not needed,maxallen@illinois.edu,Allen ML,"School of Biological Sciences, Victoria University of Wellington",Wilmers CC,"Center for Integrated Spatial Research, Environmental Studies Department, Unviersity of California, Santa Cruz",Elbroch LM,"Panthera, New York",Golla JM,"College of Natural Resources, Utah State University",Wittmer HU,"School of Biological Sciences, Victoria University of Wellington",none,none,none,none,,,,,,,no photo in manuscript; study period not defined (github issue #3) ,
no,no,no,no,no,0,no abstract,not accessible,yes,Alvarado et al. 1995,Transformaciones naturales de un contexto arqueológico. Consideraciones en la evaluación de su significado cultural,Memorias del VIII Coloquio Internacional de Paleobotánica y Palinología,n/a,n/a,46-56,46,56,11,11,not accessible,Instituto Politécnico Nacional,none,,,,spanish,no,expert curated,not accessible,x,,book chapter,,https://paperpile.com/app/p/eac61bb2-7b9e-036d-a9f2-2c3d1fec1ef1,,,Alvarado JL,,Morett L,,Sánchez F,,none,none,none,none,none,none,none,none,,,,,,,ILL requested,
no,no,no,no,no,0,included,included,yes,Alvarez-Castañeda 1996 ,Los mamíferos del Estado de Morelos.,n/a,n/a,n/a,1-211,1,211,211,220,none,"Centro de Investigaciones Biológicas del Noroeste, S.C.",,,none,158-968-6837-15-9,spanish,no,expert curated,Author Link,0,Management Report,book,1996,https://paperpile.com/app/p/a0c354ea-947e-0746-bd14-2664f39fe237,not needed,not provided,Alvarez Castañeda TS,not provided,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,seems to be a secondary account. Did check the referenced collection in Davis and Russel 1953 but this did not give further details,
no,no,no,no,Zoological Record,1,included,not diet study,no,Anonymous 1992,Alphabetical check list of panda and raccoon species,Management guidelines for bears and raccoons.,n/a,n/a,112-130,112,130,19,19,,Association of British Wild Animal Keepers,,,,,english,no,systematic search,UGA Library,1,,book chapter,1992,,,,Anonymous,,,,,,,,,,,,,,,,,,,,,
CAB Abstracts,no,no,no,no,1,included,not diet study,no,Arnaud et al. 2021,Modelling potential distribution of the endemic ringtail (Bassariscus astutus saxicola) on an island in the Gulf of California,Agro Productividad,1,none,none,none,,#VALUE!,9,"Objetivo: Analizar la topografía de la isla mediante modelos digitales de elevación (DEM) con a 30 m de resolución espacial y generar el primer modelo de distribución potencial para un carnívoro endémico de las islas del Golfo de California. Diseño / Metodología / Enfoque: En este estudio se empleó el software Maxent para encontrar la distribución potencial del babisuri en la Isla Espíritu Santo. Los muestreos se realizaron en 2015–2016, los babisuris se muestrearon en ocho bahias en el oeste de la isla. Se capturaron un total de 74 individuos, con nueve recapturas.Resultados: Las variables con mayores aportes a los modelos fueron elevación, aportando 71.6%; índice de carga de calor el 15% y la rugosidad del 11.8%. El modelo predice> 0.5 probabilidades de presencia de este carnívoro en 3.018 hectáreas de la isla. Obtuvimos un valor alto de AUC (0.928), lo que indica que el modelo es exacto, y posteriormente lo confirmamos con un valor de pAUC = 1,917. Limitaciones / Implicaciones del estudio: El hábitat del babisuri (Bassariscus astutus saxicola) era poco conocido principalmente porque es una especie endémica. Y no existe un artículo publicado que muestre su distribución dentro de la isla. Conclusiones: Este modelo muestra que las variables topográficas son útiles para explicar la distribución potencial del babisuri, principalmente porque la topografía está relacionada con sitios que pueden ofrecer refugio termal, abundancia de alimento y rutas de escape de depredadores, entre otras características.",El Colegio de Postgraduados en Ciencias Agrícolas,10.32854/agrop.v14i6.2042,https://www.revista-agroproductividad.org/index.php/agroproductividad/article/view/2042,,,english?,yes,systematic search,Publisher Website,0,,journal article,2021,,,,Arnaud G,,Sandoval S,,Escobar-Flores JG,,S√°nchez RS,,,,,,,,,,,,,,,
